"parth_main_fixed_run","parth_sub_fixed_run","neutral_main_fixed_run","neutral_sub_fixed_run","no_max_sub_run","interact_run"
1,1,NA,13,NA,1
9,2,NA,24,NA,2
12,3,NA,37,NA,3
14,4,NA,47,NA,4
17,5,NA,54,NA,5
20,6,NA,57,NA,6
22,7,NA,62,NA,7
26,9,NA,64,NA,9
31,10,NA,69,NA,10
35,11,NA,80,NA,11
38,12,NA,92,NA,12
39,13,NA,NA,NA,13
40,14,NA,NA,NA,14
41,15,NA,NA,NA,16
42,16,NA,NA,NA,17
44,17,NA,NA,NA,18
45,18,NA,NA,NA,19
46,19,NA,NA,NA,20
48,20,NA,NA,NA,21
49,21,NA,NA,NA,22
50,22,NA,NA,NA,23
51,23,NA,NA,NA,24
54,24,NA,NA,NA,25
55,25,NA,NA,NA,28
57,27,NA,NA,NA,29
59,28,NA,NA,NA,30
60,29,NA,NA,NA,31
61,30,NA,NA,NA,32
64,31,NA,NA,NA,33
65,32,NA,NA,NA,34
67,33,NA,NA,NA,36
69,34,NA,NA,NA,37
70,36,NA,NA,NA,38
75,37,NA,NA,NA,39
76,38,NA,NA,NA,41
80,39,NA,NA,NA,42
82,40,NA,NA,NA,43
84,41,NA,NA,NA,44
86,42,NA,NA,NA,45
88,43,NA,NA,NA,46
93,44,NA,NA,NA,47
94,45,NA,NA,NA,48
95,46,NA,NA,NA,49
96,47,NA,NA,NA,50
NA,48,NA,NA,NA,51
NA,49,NA,NA,NA,52
NA,50,NA,NA,NA,53
NA,51,NA,NA,NA,54
NA,52,NA,NA,NA,56
NA,53,NA,NA,NA,58
NA,54,NA,NA,NA,59
NA,56,NA,NA,NA,60
NA,58,NA,NA,NA,61
NA,59,NA,NA,NA,62
NA,60,NA,NA,NA,63
NA,61,NA,NA,NA,64
NA,62,NA,NA,NA,65
NA,63,NA,NA,NA,66
NA,64,NA,NA,NA,67
NA,65,NA,NA,NA,68
NA,66,NA,NA,NA,69
NA,67,NA,NA,NA,70
NA,68,NA,NA,NA,71
NA,69,NA,NA,NA,73
NA,70,NA,NA,NA,74
NA,71,NA,NA,NA,75
NA,73,NA,NA,NA,77
NA,74,NA,NA,NA,78
NA,75,NA,NA,NA,79
NA,77,NA,NA,NA,80
NA,78,NA,NA,NA,81
NA,79,NA,NA,NA,82
NA,80,NA,NA,NA,83
NA,81,NA,NA,NA,84
NA,82,NA,NA,NA,85
NA,83,NA,NA,NA,86
NA,84,NA,NA,NA,87
NA,85,NA,NA,NA,88
NA,86,NA,NA,NA,89
NA,87,NA,NA,NA,90
NA,88,NA,NA,NA,91
NA,89,NA,NA,NA,93
NA,90,NA,NA,NA,94
NA,91,NA,NA,NA,96
NA,93,NA,NA,NA,NA
NA,94,NA,NA,NA,NA
NA,96,NA,NA,NA,NA
