mainpop, maxsubpop, fitness, Rmut, main_encounter, Nsexual, Npar_sex, Npar, recom12, recom23, migration, generation, simulation_id

100 50 1 10000 4 10 10 2 0.5 0.5 100 1000 00
100 50 1 10000 4 10 9 2 0.5 0.5 100 1000 01
100 50 1 10000 4 10 5 2 0.5 0.5 100 1000 02
100 50 2 10000 4 10 10 2 0.5 0.5 100 1000 03
100 50 2 10000 4 10 9 2 0.5 0.5 100 1000 04
500 50 1 10000 4 10 10 2 0.5 0.5 500 1000 05
500 50 1 10000 4 10 9 2 0.5 0.5 500 1000 06
5000 500 1 10000 10 10 8 2 0.5 0.5 5000 1000 07
5000 500 1 10000 5 10 8 2 0.5 0.5 5000 1000 08
5000 500 1 10000 2 10 8 2 0.5 0.5 5000 1000 09
5000 100 1 10000 10 10 8 2 0.5 0.5 5000 1000 10
5000 100 1 10000 5 10 8 2 0.5 0.5 5000 1000 11
5000 100 1 10000 2 10 8 2 0.5 0.5 5000 1000 12
5000 25 1 10000 10 10 8 2 0.5 0.5 5000 1000 13
5000 25 1 10000 5 10 8 2 0.5 0.5 5000 1000 14
5000 25 1 10000 2 10 8 2 0.5 0.5 5000 1000 15
