popsize, maxsubsize, migration, mutation, rec1, rec2, numinds, maxrepro, overdom, numgens, parthreduction, parthpenalty, plotnumber

5000 500 5000 10000 0.5 0.5 10 10 0 1000 0.2 0.1 00
5000 500 5000 10000 0.5 0.5 5 10 0 1000 0.2 0.1 01
5000 500 5000 10000 0.5 0.5 2 10 0 1000 0.2 0.1 02
5000 100 5000 10000 0.5 0.5 10 10 0 1000 0.2 0.1 03
5000 100 5000 10000 0.5 0.5 5 10 0 1000 0.2 0.1 04
5000 100 5000 10000 0.5 0.5 2 10 0 1000 0.2 0.1 05
5000 25 5000 10000 0.5 0.5 10 10 0 1000 0.2 0.1 06
5000 25 5000 10000 0.5 0.5 5 10 0 1000 0.2 0.1 07
5000 25 5000 10000 0.5 0.5 2 10 0 1000 0.2 0.1 08
5000 500 500000 10000 0.5 0.5 10 10 0 1000 0.2 0.1 09
5000 500 500000 10000 0.5 0.5 5 10 0 1000 0.2 0.1 10
5000 500 500000 10000 0.5 0.5 2 10 0 1000 0.2 0.1 11
5000 100 500000 10000 0.5 0.5 10 10 0 1000 0.2 0.1 12
5000 100 500000 10000 0.5 0.5 5 10 0 1000 0.2 0.1 13
5000 100 500000 10000 0.5 0.5 2 10 0 1000 0.2 0.1 14
5000 25 500000 10000 0.5 0.5 10 10 0 1000 0.2 0.1 15
5000 25 500000 10000 0.5 0.5 5 10 0 1000 0.2 0.1 16
5000 25 500000 10000 0.5 0.5 2 10 0 1000 0.2 0.1 17

5000 500 5000 100000 0.5 0.5 10 10 0 2000 0.2 0.25 18
5000 500 5000 100000 0.5 0.5 5 10 0 2000 0.2 0.25 19
5000 500 5000 100000 0.5 0.5 2 10 0 2000 0.2 0.25 20
5000 100 5000 100000 0.5 0.5 10 10 0 2000 0.2 0.25 21
5000 100 5000 100000 0.5 0.5 5 10 0 2000 0.2 0.25 22
5000 100 5000 100000 0.5 0.5 2 10 0 2000 0.2 0.25 23
5000 25 5000 100000 0.5 0.5 10 10 0 2000 0.2 0.25 24
5000 25 5000 100000 0.5 0.5 5 10 0 2000 0.2 0.25 25
5000 25 5000 100000 0.5 0.5 2 10 0 2000 0.2 0.25 26
5000 500 500000 100000 0.5 0.5 10 10 0 2000 0.2 0.25 27
5000 500 500000 100000 0.5 0.5 5 10 0 2000 0.2 0.25 28
5000 500 500000 100000 0.5 0.5 2 10 0 2000 0.2 0.25 29
5000 100 500000 100000 0.5 0.5 10 10 0 2000 0.2 0.25 30
5000 100 500000 100000 0.5 0.5 5 10 0 2000 0.2 0.25 31
5000 100 500000 100000 0.5 0.5 2 10 0 2000 0.2 0.25 32
5000 25 500000 100000 0.5 0.5 10 10 0 2000 0.2 0.25 33
5000 25 500000 100000 0.5 0.5 5 10 0 2000 0.2 0.25 34
5000 25 500000 100000 0.5 0.5 2 10 0 2000 0.2 0.25 35

5000 500 5000 1000000 0.5 0.5 10 10 0 10000 0.2 0.25 36
5000 500 5000 1000000 0.5 0.5 5 10 0 10000 0.2 0.25 37
5000 500 5000 1000000 0.5 0.5 2 10 0 10000 0.2 0.25 38
5000 100 5000 1000000 0.5 0.5 10 10 0 10000 0.2 0.25 39
5000 100 5000 1000000 0.5 0.5 5 10 0 10000 0.2 0.25 40
5000 100 5000 1000000 0.5 0.5 2 10 0 10000 0.2 0.25 41
5000 25 5000 1000000 0.5 0.5 10 10 0 10000 0.2 0.25 42
5000 25 5000 1000000 0.5 0.5 5 10 0 10000 0.2 0.25 43
5000 25 5000 1000000 0.5 0.5 2 10 0 10000 0.2 0.25 44
5000 500 500000 1000000 0.5 0.5 10 10 0 10000 0.2 0.25 45
5000 500 500000 1000000 0.5 0.5 5 10 0 10000 0.2 0.25 46
5000 500 500000 1000000 0.5 0.5 2 10 0 10000 0.2 0.25 47
5000 100 500000 1000000 0.5 0.5 10 10 0 10000 0.2 0.25 48
5000 100 500000 1000000 0.5 0.5 5 10 0 10000 0.2 0.25 49
5000 100 500000 1000000 0.5 0.5 2 10 0 10000 0.2 0.25 50
5000 25 500000 1000000 0.5 0.5 10 10 0 10000 0.2 0.25 51
5000 25 500000 1000000 0.5 0.5 5 10 0 10000 0.2 0.25 52
5000 25 500000 1000000 0.5 0.5 2 10 0 10000 0.2 0.25 53
