popsize, maxsubsize, migration, mutation, rec1, rec2, numinds, numindssub, maxrepro, overdom, numgens, parthreduction, parthpenalty, plotnumber

5000 500 5000 10000 0.5 0.5 1 1 300 0 10000 0.01 0.0 001
5000 500 5000 10000 0.5 0.5 1 1 300 0 10000 0.01 0.05 002
5000 500 5000 10000 0.5 0.5 1 1 300 0 10000 0.01 0.15 003
5000 500 5000 10000 0.5 0.5 1 1 300 0 10000 0.01 0.25 004
5000 500 5000 10000 0.5 0.5 1 2 300 0 10000 0.01 0.0 005
5000 500 5000 10000 0.5 0.5 1 2 300 0 10000 0.01 0.05 006
5000 500 5000 10000 0.5 0.5 1 2 300 0 10000 0.01 0.15 007
5000 500 5000 10000 0.5 0.5 1 2 300 0 10000 0.01 0.25 008
5000 500 5000 10000 0.5 0.5 2 1 300 0 10000 0.01 0.0 009
5000 500 5000 10000 0.5 0.5 2 1 300 0 10000 0.01 0.05 010
5000 500 5000 10000 0.5 0.5 2 1 300 0 10000 0.01 0.15 011
5000 500 5000 10000 0.5 0.5 2 1 300 0 10000 0.01 0.25 012
5000 500 5000 10000 0.5 0.5 2 2 300 0 10000 0.01 0.0 013
5000 500 5000 10000 0.5 0.5 2 2 300 0 10000 0.01 0.05 014
5000 500 5000 10000 0.5 0.5 2 2 300 0 10000 0.01 0.15 015
5000 500 5000 10000 0.5 0.5 2 2 300 0 10000 0.01 0.25 016
5000 500 5000 10000 0.5 0.5 1 6 300 0 10000 0.01 0.0 017
5000 500 5000 10000 0.5 0.5 1 6 300 0 10000 0.01 0.05 018
5000 500 5000 10000 0.5 0.5 1 6 300 0 10000 0.01 0.15 019
5000 500 5000 10000 0.5 0.5 1 6 300 0 10000 0.01 0.25 020
5000 500 5000 10000 0.5 0.5 6 1 300 0 10000 0.01 0.0 021
5000 500 5000 10000 0.5 0.5 6 1 300 0 10000 0.01 0.05 022
5000 500 5000 10000 0.5 0.5 6 1 300 0 10000 0.01 0.15 023
5000 500 5000 10000 0.5 0.5 6 1 300 0 10000 0.01 0.25 024
5000 500 5000 10000 0.5 0.5 10 5 300 0 10000 0.01 0.0 025
5000 500 5000 10000 0.5 0.5 10 5 300 0 10000 0.01 0.05 026
5000 500 5000 10000 0.5 0.5 10 5 300 0 10000 0.01 0.15 027
5000 500 5000 10000 0.5 0.5 10 5 300 0 10000 0.01 0.25 028
5000 500 5000 10000 0.5 0.5 16 8 300 0 10000 0.01 0.0 029
5000 500 5000 10000 0.5 0.5 16 8 300 0 10000 0.01 0.05 030
5000 500 5000 10000 0.5 0.5 16 8 300 0 10000 0.01 0.15 031
5000 500 5000 10000 0.5 0.5 16 8 300 0 10000 0.01 0.25 032
5000 500 5000 10000 0.5 0.5 24 12 300 0 10000 0.01 0.0 033
5000 500 5000 10000 0.5 0.5 24 12 300 0 10000 0.01 0.05 034
5000 500 5000 10000 0.5 0.5 24 12 300 0 10000 0.01 0.15 035
5000 500 5000 10000 0.5 0.5 24 12 300 0 10000 0.01 0.25 036
5000 500 5000 10000 0.5 0.5 50 25 300 0 10000 0.01 0.0 037
5000 500 5000 10000 0.5 0.5 50 25 300 0 10000 0.01 0.05 038
5000 500 5000 10000 0.5 0.5 50 25 300 0 10000 0.01 0.15 039
5000 500 5000 10000 0.5 0.5 50 25 300 0 10000 0.01 0.25 040
5000 500 5000 100000 0.5 0.5 1 1 300 0 10000 0.01 0.0 041
5000 500 5000 100000 0.5 0.5 1 1 300 0 10000 0.01 0.05 042
5000 500 5000 100000 0.5 0.5 1 1 300 0 10000 0.01 0.15 043
5000 500 5000 100000 0.5 0.5 1 1 300 0 10000 0.01 0.25 044
5000 500 5000 100000 0.5 0.5 1 2 300 0 10000 0.01 0.0 045
