popsize, maxsubsize, migration, mutation, rec1, rec2, numinds, numindssub, maxrepro, overdom, numgens, parthreduction, parthpenalty, plotnumber

50000 5000 500000 10000 0.5 0.5 1 1 300 0 1000 0.01 0 001
50000 5000 500000 10000 0.5 0.5 1 1 300 0 1000 0.01 0.0033333333333333335 002
50000 5000 500000 10000 0.5 0.5 1 1 300 0 1000 0.01 0.006666666666666667 003
50000 5000 500000 10000 0.5 0.5 1 1 300 0 1000 0.01 0.03 004
50000 5000 500000 10000 0.5 0.5 1 1 300 0 1000 0.01 0.04 005
50000 5000 500000 10000 0.5 0.5 1 2 300 0 1000 0.01 0 006
50000 5000 500000 10000 0.5 0.5 1 2 300 0 1000 0.01 0.0033333333333333335 007
50000 5000 500000 10000 0.5 0.5 1 2 300 0 1000 0.01 0.006666666666666667 008
50000 5000 500000 10000 0.5 0.5 1 2 300 0 1000 0.01 0.03 009
50000 5000 500000 10000 0.5 0.5 1 2 300 0 1000 0.01 0.04 010
50000 5000 500000 10000 0.5 0.5 2 1 300 0 1000 0.01 0 011
50000 5000 500000 10000 0.5 0.5 2 1 300 0 1000 0.01 0.0033333333333333335 012
50000 5000 500000 10000 0.5 0.5 2 1 300 0 1000 0.01 0.006666666666666667 013
50000 5000 500000 10000 0.5 0.5 2 1 300 0 1000 0.01 0.03 014
50000 5000 500000 10000 0.5 0.5 2 1 300 0 1000 0.01 0.04 015
50000 5000 500000 10000 0.5 0.5 2 2 300 0 1000 0.01 0 016
50000 5000 500000 10000 0.5 0.5 2 2 300 0 1000 0.01 0.0033333333333333335 017
50000 5000 500000 10000 0.5 0.5 2 2 300 0 1000 0.01 0.006666666666666667 018
50000 5000 500000 10000 0.5 0.5 2 2 300 0 1000 0.01 0.03 019
50000 5000 500000 10000 0.5 0.5 2 2 300 0 1000 0.01 0.04 020
50000 5000 500000 10000 0.5 0.5 1 10 300 0 1000 0.01 0 021
50000 5000 500000 10000 0.5 0.5 1 10 300 0 1000 0.01 0.0033333333333333335 022
50000 5000 500000 10000 0.5 0.5 1 10 300 0 1000 0.01 0.006666666666666667 023
50000 5000 500000 10000 0.5 0.5 1 10 300 0 1000 0.01 0.03 024
50000 5000 500000 10000 0.5 0.5 1 10 300 0 1000 0.01 0.04 025
50000 5000 500000 10000 0.5 0.5 10 1 300 0 1000 0.01 0 026
50000 5000 500000 10000 0.5 0.5 10 1 300 0 1000 0.01 0.0033333333333333335 027
50000 5000 500000 10000 0.5 0.5 10 1 300 0 1000 0.01 0.006666666666666667 028
50000 5000 500000 10000 0.5 0.5 10 1 300 0 1000 0.01 0.03 029
50000 5000 500000 10000 0.5 0.5 10 1 300 0 1000 0.01 0.04 030
50000 5000 500000 10000 0.5 0.5 12 6 300 0 1000 0.01 0 031
50000 5000 500000 10000 0.5 0.5 12 6 300 0 1000 0.01 0.0033333333333333335 032
50000 5000 500000 10000 0.5 0.5 12 6 300 0 1000 0.01 0.006666666666666667 033
50000 5000 500000 10000 0.5 0.5 12 6 300 0 1000 0.01 0.03 034
50000 5000 500000 10000 0.5 0.5 12 6 300 0 1000 0.01 0.04 035
50000 5000 500000 10000 0.5 0.5 24 12 300 0 1000 0.01 0 036
50000 5000 500000 10000 0.5 0.5 24 12 300 0 1000 0.01 0.0033333333333333335 037
50000 5000 500000 10000 0.5 0.5 24 12 300 0 1000 0.01 0.006666666666666667 038
50000 5000 500000 10000 0.5 0.5 24 12 300 0 1000 0.01 0.03 039
50000 5000 500000 10000 0.5 0.5 24 12 300 0 1000 0.01 0.04 040
50000 5000 500000 10000 0.5 0.5 50 25 300 0 1000 0.01 0 041
50000 5000 500000 10000 0.5 0.5 50 25 300 0 1000 0.01 0.0033333333333333335 042
50000 5000 500000 10000 0.5 0.5 50 25 300 0 1000 0.01 0.006666666666666667 043
50000 5000 500000 10000 0.5 0.5 50 25 300 0 1000 0.01 0.03 044
50000 5000 500000 10000 0.5 0.5 50 25 300 0 1000 0.01 0.04 045
50000 5000 500000 100000 0.5 0.5 1 1 300 0 1000 0.01 0 046
50000 5000 500000 100000 0.5 0.5 1 1 300 0 1000 0.01 0.0033333333333333335 047
50000 5000 500000 100000 0.5 0.5 1 1 300 0 1000 0.01 0.006666666666666667 048
50000 5000 500000 100000 0.5 0.5 1 1 300 0 1000 0.01 0.03 049
50000 5000 500000 100000 0.5 0.5 1 1 300 0 1000 0.01 0.04 050
50000 5000 500000 100000 0.5 0.5 1 2 300 0 1000 0.01 0 051
50000 5000 500000 100000 0.5 0.5 1 2 300 0 1000 0.01 0.0033333333333333335 052
50000 5000 500000 100000 0.5 0.5 1 2 300 0 1000 0.01 0.006666666666666667 053
50000 5000 500000 100000 0.5 0.5 1 2 300 0 1000 0.01 0.03 054
50000 5000 500000 100000 0.5 0.5 1 2 300 0 1000 0.01 0.04 055
50000 5000 500000 100000 0.5 0.5 2 1 300 0 1000 0.01 0 056
50000 5000 500000 100000 0.5 0.5 2 1 300 0 1000 0.01 0.0033333333333333335 057
50000 5000 500000 100000 0.5 0.5 2 1 300 0 1000 0.01 0.006666666666666667 058
50000 5000 500000 100000 0.5 0.5 2 1 300 0 1000 0.01 0.03 059
50000 5000 500000 100000 0.5 0.5 2 1 300 0 1000 0.01 0.04 060
50000 5000 500000 100000 0.5 0.5 2 2 300 0 1000 0.01 0 061
50000 5000 500000 100000 0.5 0.5 2 2 300 0 1000 0.01 0.0033333333333333335 062
50000 5000 500000 100000 0.5 0.5 2 2 300 0 1000 0.01 0.006666666666666667 063
50000 5000 500000 100000 0.5 0.5 2 2 300 0 1000 0.01 0.03 064
50000 5000 500000 100000 0.5 0.5 2 2 300 0 1000 0.01 0.04 065
50000 5000 500000 100000 0.5 0.5 1 10 300 0 1000 0.01 0 066
50000 5000 500000 100000 0.5 0.5 1 10 300 0 1000 0.01 0.0033333333333333335 067
50000 5000 500000 100000 0.5 0.5 1 10 300 0 1000 0.01 0.006666666666666667 068
50000 5000 500000 100000 0.5 0.5 1 10 300 0 1000 0.01 0.03 069
50000 5000 500000 100000 0.5 0.5 1 10 300 0 1000 0.01 0.04 070
50000 5000 500000 100000 0.5 0.5 10 1 300 0 1000 0.01 0 071
50000 5000 500000 100000 0.5 0.5 10 1 300 0 1000 0.01 0.0033333333333333335 072
50000 5000 500000 100000 0.5 0.5 10 1 300 0 1000 0.01 0.006666666666666667 073
50000 5000 500000 100000 0.5 0.5 10 1 300 0 1000 0.01 0.03 074
50000 5000 500000 100000 0.5 0.5 10 1 300 0 1000 0.01 0.04 075
50000 5000 500000 100000 0.5 0.5 12 6 300 0 1000 0.01 0 076
50000 5000 500000 100000 0.5 0.5 12 6 300 0 1000 0.01 0.0033333333333333335 077
50000 5000 500000 100000 0.5 0.5 12 6 300 0 1000 0.01 0.006666666666666667 078
50000 5000 500000 100000 0.5 0.5 12 6 300 0 1000 0.01 0.03 079
50000 5000 500000 100000 0.5 0.5 12 6 300 0 1000 0.01 0.04 080
50000 5000 500000 100000 0.5 0.5 24 12 300 0 1000 0.01 0 081
50000 5000 500000 100000 0.5 0.5 24 12 300 0 1000 0.01 0.0033333333333333335 082
50000 5000 500000 100000 0.5 0.5 24 12 300 0 1000 0.01 0.006666666666666667 083
50000 5000 500000 100000 0.5 0.5 24 12 300 0 1000 0.01 0.03 084
50000 5000 500000 100000 0.5 0.5 24 12 300 0 1000 0.01 0.04 085
50000 5000 500000 100000 0.5 0.5 50 25 300 0 1000 0.01 0 086
50000 5000 500000 100000 0.5 0.5 50 25 300 0 1000 0.01 0.0033333333333333335 087
50000 5000 500000 100000 0.5 0.5 50 25 300 0 1000 0.01 0.006666666666666667 088
50000 5000 500000 100000 0.5 0.5 50 25 300 0 1000 0.01 0.03 089
50000 5000 500000 100000 0.5 0.5 50 25 300 0 1000 0.01 0.04 090
50000 5000 500000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0 091
50000 5000 500000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0.0033333333333333335 092
50000 5000 500000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0.006666666666666667 093
50000 5000 500000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0.03 094
50000 5000 500000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0.04 095
50000 5000 500000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0 096
50000 5000 500000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0.0033333333333333335 097
50000 5000 500000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0.006666666666666667 098
50000 5000 500000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0.03 099
50000 5000 500000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0.04 100
50000 5000 500000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0 101
50000 5000 500000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0.0033333333333333335 102
50000 5000 500000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0.006666666666666667 103
50000 5000 500000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0.03 104
50000 5000 500000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0.04 105
50000 5000 500000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0 106
50000 5000 500000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0.0033333333333333335 107
