popsize, maxsubsize, migration, mutation, rec1, rec2, numinds, numindssub, maxrepro, overdom, numgens, parthreduction, parthpenalty, boo

5000 500 50000 10000 0.5 0.5 1 1 300 0 1000 0.01 0 001
5000 500 50000 10000 0.5 0.5 1 1 300 0 1000 0.01 0.0033333333333333335 002
5000 500 50000 10000 0.5 0.5 1 1 300 0 1000 0.01 0.006666666666666667 003
5000 500 50000 10000 0.5 0.5 1 1 300 0 1000 0.01 0.03 004
5000 500 50000 10000 0.5 0.5 1 1 300 0 1000 0.01 0.04 005
5000 500 50000 10000 0.5 0.5 1 2 300 0 1000 0.01 0 006
5000 500 50000 10000 0.5 0.5 1 2 300 0 1000 0.01 0.0033333333333333335 007
5000 500 50000 10000 0.5 0.5 1 2 300 0 1000 0.01 0.006666666666666667 008
5000 500 50000 10000 0.5 0.5 1 2 300 0 1000 0.01 0.03 009
5000 500 50000 10000 0.5 0.5 1 2 300 0 1000 0.01 0.04 010
5000 500 50000 10000 0.5 0.5 2 1 300 0 1000 0.01 0 011
5000 500 50000 10000 0.5 0.5 2 1 300 0 1000 0.01 0.0033333333333333335 012
5000 500 50000 10000 0.5 0.5 2 1 300 0 1000 0.01 0.006666666666666667 013
5000 500 50000 10000 0.5 0.5 2 1 300 0 1000 0.01 0.03 014
5000 500 50000 10000 0.5 0.5 2 1 300 0 1000 0.01 0.04 015
5000 500 50000 10000 0.5 0.5 2 2 300 0 1000 0.01 0 016
5000 500 50000 10000 0.5 0.5 2 2 300 0 1000 0.01 0.0033333333333333335 017
5000 500 50000 10000 0.5 0.5 2 2 300 0 1000 0.01 0.006666666666666667 018
5000 500 50000 10000 0.5 0.5 2 2 300 0 1000 0.01 0.03 019
5000 500 50000 10000 0.5 0.5 2 2 300 0 1000 0.01 0.04 020
5000 500 50000 10000 0.5 0.5 1 10 300 0 1000 0.01 0 021
5000 500 50000 10000 0.5 0.5 1 10 300 0 1000 0.01 0.0033333333333333335 022
5000 500 50000 10000 0.5 0.5 1 10 300 0 1000 0.01 0.006666666666666667 023
5000 500 50000 10000 0.5 0.5 1 10 300 0 1000 0.01 0.03 024
5000 500 50000 10000 0.5 0.5 1 10 300 0 1000 0.01 0.04 025
5000 500 50000 10000 0.5 0.5 10 1 300 0 1000 0.01 0 026
5000 500 50000 10000 0.5 0.5 10 1 300 0 1000 0.01 0.0033333333333333335 027
5000 500 50000 10000 0.5 0.5 10 1 300 0 1000 0.01 0.006666666666666667 028
5000 500 50000 10000 0.5 0.5 10 1 300 0 1000 0.01 0.03 029
5000 500 50000 10000 0.5 0.5 10 1 300 0 1000 0.01 0.04 030
5000 500 50000 10000 0.5 0.5 12 6 300 0 1000 0.01 0 031
5000 500 50000 10000 0.5 0.5 12 6 300 0 1000 0.01 0.0033333333333333335 032
5000 500 50000 10000 0.5 0.5 12 6 300 0 1000 0.01 0.006666666666666667 033
5000 500 50000 10000 0.5 0.5 12 6 300 0 1000 0.01 0.03 034
5000 500 50000 10000 0.5 0.5 12 6 300 0 1000 0.01 0.04 035
5000 500 50000 10000 0.5 0.5 24 12 300 0 1000 0.01 0 036
5000 500 50000 10000 0.5 0.5 24 12 300 0 1000 0.01 0.0033333333333333335 037
5000 500 50000 10000 0.5 0.5 24 12 300 0 1000 0.01 0.006666666666666667 038
5000 500 50000 10000 0.5 0.5 24 12 300 0 1000 0.01 0.03 039
5000 500 50000 10000 0.5 0.5 24 12 300 0 1000 0.01 0.04 040
5000 500 50000 10000 0.5 0.5 50 25 300 0 1000 0.01 0 041
5000 500 50000 10000 0.5 0.5 50 25 300 0 1000 0.01 0.0033333333333333335 042
5000 500 50000 10000 0.5 0.5 50 25 300 0 1000 0.01 0.006666666666666667 043
5000 500 50000 10000 0.5 0.5 50 25 300 0 1000 0.01 0.03 044
5000 500 50000 10000 0.5 0.5 50 25 300 0 1000 0.01 0.04 045
5000 500 50000 100000 0.5 0.5 1 1 300 0 1000 0.01 0 046
5000 500 50000 100000 0.5 0.5 1 1 300 0 1000 0.01 0.0033333333333333335 047
5000 500 50000 100000 0.5 0.5 1 1 300 0 1000 0.01 0.006666666666666667 048
5000 500 50000 100000 0.5 0.5 1 1 300 0 1000 0.01 0.03 049
5000 500 50000 100000 0.5 0.5 1 1 300 0 1000 0.01 0.04 050
5000 500 50000 100000 0.5 0.5 1 2 300 0 1000 0.01 0 051
5000 500 50000 100000 0.5 0.5 1 2 300 0 1000 0.01 0.0033333333333333335 052
5000 500 50000 100000 0.5 0.5 1 2 300 0 1000 0.01 0.006666666666666667 053
5000 500 50000 100000 0.5 0.5 1 2 300 0 1000 0.01 0.03 054
5000 500 50000 100000 0.5 0.5 1 2 300 0 1000 0.01 0.04 055
5000 500 50000 100000 0.5 0.5 2 1 300 0 1000 0.01 0 056
5000 500 50000 100000 0.5 0.5 2 1 300 0 1000 0.01 0.0033333333333333335 057
5000 500 50000 100000 0.5 0.5 2 1 300 0 1000 0.01 0.006666666666666667 058
5000 500 50000 100000 0.5 0.5 2 1 300 0 1000 0.01 0.03 059
5000 500 50000 100000 0.5 0.5 2 1 300 0 1000 0.01 0.04 060
5000 500 50000 100000 0.5 0.5 2 2 300 0 1000 0.01 0 061
5000 500 50000 100000 0.5 0.5 2 2 300 0 1000 0.01 0.0033333333333333335 062
5000 500 50000 100000 0.5 0.5 2 2 300 0 1000 0.01 0.006666666666666667 063
5000 500 50000 100000 0.5 0.5 2 2 300 0 1000 0.01 0.03 064
5000 500 50000 100000 0.5 0.5 2 2 300 0 1000 0.01 0.04 065
5000 500 50000 100000 0.5 0.5 1 10 300 0 1000 0.01 0 066
5000 500 50000 100000 0.5 0.5 1 10 300 0 1000 0.01 0.0033333333333333335 067
5000 500 50000 100000 0.5 0.5 1 10 300 0 1000 0.01 0.006666666666666667 068
5000 500 50000 100000 0.5 0.5 1 10 300 0 1000 0.01 0.03 069
5000 500 50000 100000 0.5 0.5 1 10 300 0 1000 0.01 0.04 070
5000 500 50000 100000 0.5 0.5 10 1 300 0 1000 0.01 0 071
5000 500 50000 100000 0.5 0.5 10 1 300 0 1000 0.01 0.0033333333333333335 072
5000 500 50000 100000 0.5 0.5 10 1 300 0 1000 0.01 0.006666666666666667 073
5000 500 50000 100000 0.5 0.5 10 1 300 0 1000 0.01 0.03 074
5000 500 50000 100000 0.5 0.5 10 1 300 0 1000 0.01 0.04 075
5000 500 50000 100000 0.5 0.5 12 6 300 0 1000 0.01 0 076
5000 500 50000 100000 0.5 0.5 12 6 300 0 1000 0.01 0.0033333333333333335 077
5000 500 50000 100000 0.5 0.5 12 6 300 0 1000 0.01 0.006666666666666667 078
5000 500 50000 100000 0.5 0.5 12 6 300 0 1000 0.01 0.03 079
5000 500 50000 100000 0.5 0.5 12 6 300 0 1000 0.01 0.04 080
5000 500 50000 100000 0.5 0.5 24 12 300 0 1000 0.01 0 081
5000 500 50000 100000 0.5 0.5 24 12 300 0 1000 0.01 0.0033333333333333335 082
5000 500 50000 100000 0.5 0.5 24 12 300 0 1000 0.01 0.006666666666666667 083
5000 500 50000 100000 0.5 0.5 24 12 300 0 1000 0.01 0.03 084
5000 500 50000 100000 0.5 0.5 24 12 300 0 1000 0.01 0.04 085
5000 500 50000 100000 0.5 0.5 50 25 300 0 1000 0.01 0 086
5000 500 50000 100000 0.5 0.5 50 25 300 0 1000 0.01 0.0033333333333333335 087
5000 500 50000 100000 0.5 0.5 50 25 300 0 1000 0.01 0.006666666666666667 088
5000 500 50000 100000 0.5 0.5 50 25 300 0 1000 0.01 0.03 089
5000 500 50000 100000 0.5 0.5 50 25 300 0 1000 0.01 0.04 090
5000 500 50000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0 091
5000 500 50000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0.0033333333333333335 092
5000 500 50000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0.006666666666666667 093
5000 500 50000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0.03 094
5000 500 50000 10000000 0.5 0.5 1 1 300 0 1000 0.01 0.04 095
5000 500 50000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0 096
5000 500 50000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0.0033333333333333335 097
5000 500 50000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0.006666666666666667 098
5000 500 50000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0.03 099
5000 500 50000 10000000 0.5 0.5 1 2 300 0 1000 0.01 0.04 100
5000 500 50000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0 101
5000 500 50000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0.0033333333333333335 102
5000 500 50000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0.006666666666666667 103
5000 500 50000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0.03 104
5000 500 50000 10000000 0.5 0.5 2 1 300 0 1000 0.01 0.04 105
5000 500 50000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0 106
5000 500 50000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0.0033333333333333335 107
5000 500 50000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0.006666666666666667 108
5000 500 50000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0.03 109
5000 500 50000 10000000 0.5 0.5 2 2 300 0 1000 0.01 0.04 110
5000 500 50000 10000000 0.5 0.5 1 10 300 0 1000 0.01 0 111
5000 500 50000 10000000 0.5 0.5 1 10 300 0 1000 0.01 0.0033333333333333335 112
5000 500 50000 10000000 0.5 0.5 1 10 300 0 1000 0.01 0.006666666666666667 113
5000 500 50000 10000000 0.5 0.5 1 10 300 0 1000 0.01 0.03 114
5000 500 50000 10000000 0.5 0.5 1 10 300 0 1000 0.01 0.04 115
5000 500 50000 10000000 0.5 0.5 10 1 300 0 1000 0.01 0 116
5000 500 50000 10000000 0.5 0.5 10 1 300 0 1000 0.01 0.0033333333333333335 117
5000 500 50000 10000000 0.5 0.5 10 1 300 0 1000 0.01 0.006666666666666667 118
5000 500 50000 10000000 0.5 0.5 10 1 300 0 1000 0.01 0.03 119
5000 500 50000 10000000 0.5 0.5 10 1 300 0 1000 0.01 0.04 120
5000 500 50000 10000000 0.5 0.5 12 6 300 0 1000 0.01 0 121
5000 500 50000 10000000 0.5 0.5 12 6 300 0 1000 0.01 0.0033333333333333335 122
5000 500 50000 10000000 0.5 0.5 12 6 300 0 1000 0.01 0.006666666666666667 123
5000 500 50000 10000000 0.5 0.5 12 6 300 0 1000 0.01 0.03 124
5000 500 50000 10000000 0.5 0.5 12 6 300 0 1000 0.01 0.04 125
5000 500 50000 10000000 0.5 0.5 24 12 300 0 1000 0.01 0 126
5000 500 50000 10000000 0.5 0.5 24 12 300 0 1000 0.01 0.0033333333333333335 127
5000 500 50000 10000000 0.5 0.5 24 12 300 0 1000 0.01 0.006666666666666667 128
5000 500 50000 10000000 0.5 0.5 24 12 300 0 1000 0.01 0.03 129
5000 500 50000 10000000 0.5 0.5 24 12 300 0 1000 0.01 0.04 130
5000 500 50000 10000000 0.5 0.5 50 25 300 0 1000 0.01 0 131
5000 500 50000 10000000 0.5 0.5 50 25 300 0 1000 0.01 0.0033333333333333335 132
5000 500 50000 10000000 0.5 0.5 50 25 300 0 1000 0.01 0.006666666666666667 133
5000 500 50000 10000000 0.5 0.5 50 25 300 0 1000 0.01 0.03 134
5000 500 50000 10000000 0.5 0.5 50 25 300 0 1000 0.01 0.04 135
5000 500 50000 100000000 0.5 0.5 1 1 300 0 1000 0.01 0 136
5000 500 50000 100000000 0.5 0.5 1 1 300 0 1000 0.01 0.0033333333333333335 137
5000 500 50000 100000000 0.5 0.5 1 1 300 0 1000 0.01 0.006666666666666667 138
5000 500 50000 100000000 0.5 0.5 1 1 300 0 1000 0.01 0.03 139
5000 500 50000 100000000 0.5 0.5 1 1 300 0 1000 0.01 0.04 140
5000 500 50000 100000000 0.5 0.5 1 2 300 0 1000 0.01 0 141
5000 500 50000 100000000 0.5 0.5 1 2 300 0 1000 0.01 0.0033333333333333335 142
5000 500 50000 100000000 0.5 0.5 1 2 300 0 1000 0.01 0.006666666666666667 143
5000 500 50000 100000000 0.5 0.5 1 2 300 0 1000 0.01 0.03 144
5000 500 50000 100000000 0.5 0.5 1 2 300 0 1000 0.01 0.04 145
5000 500 50000 100000000 0.5 0.5 2 1 300 0 1000 0.01 0 146
5000 500 50000 100000000 0.5 0.5 2 1 300 0 1000 0.01 0.0033333333333333335 147
5000 500 50000 100000000 0.5 0.5 2 1 300 0 1000 0.01 0.006666666666666667 148
5000 500 50000 100000000 0.5 0.5 2 1 300 0 1000 0.01 0.03 149
5000 500 50000 100000000 0.5 0.5 2 1 300 0 1000 0.01 0.04 150
5000 500 50000 100000000 0.5 0.5 2 2 300 0 1000 0.01 0 151
5000 500 50000 100000000 0.5 0.5 2 2 300 0 1000 0.01 0.0033333333333333335 152
5000 500 50000 100000000 0.5 0.5 2 2 300 0 1000 0.01 0.006666666666666667 153
