metapopulation size: 3000
subpopulation size: 30
sexual reproduction produces 10 offspring
parthenogenetic reproduction produces 10 offspring
penalty for parthenogenetic-capable females reproducing sexually: 0
migration rate: 0
mutation rate: 0.00016666666666666666
recombination rate, interval 1: 0.5
recombination rate, interval 2: 0.5
each individual in the main population encounters 2 individuals
each individual in the subpopulation encounters 1 individuals
fitness overdominance (0=no, 1=yes): 1
maximum value of parthenogenetic allele that appeared: 0.49985689353337454
random seed: 355
generation     mean_Loc2           mean_Loc3           mean_Loc1           f_prod_sexually     sexual_offspring    f_prod_parth        parth_offspring     
1              0.00000             0.00041             0.50000             1085.00000          10850.00000         410.00000           0.00000             
2              0.00000             0.00049             0.50000             1112.00000          11120.00000         369.00000           0.00000             
3              0.00000             0.00111             0.50000             1140.00000          11400.00000         393.00000           0.00000             
4              0.00024             0.00074             0.50000             1096.00000          10960.00000         419.00000           0.00000             
5              0.00012             0.00147             0.50000             1160.00000          11600.00000         351.00000           0.00000             
6              0.00039             0.00172             0.50000             1089.00000          10890.00000         373.00000           10.00000            
7              0.00024             0.00135             0.50000             1150.00000          11500.00000         393.00000           0.00000             
8              0.00060             0.00074             0.50000             1120.00000          11200.00000         359.00000           0.00000             
9              0.00131             0.00089             0.50000             1148.00000          11480.00000         379.00000           0.00000             
10             0.00108             0.00105             0.50000             1104.00000          11040.00000         359.00000           10.00000            
11             0.00132             0.00037             0.50000             1114.00000          11140.00000         379.00000           0.00000             
12             0.00126             0.00123             0.50000             1109.00000          11090.00000         391.00000           0.00000             
13             0.00127             0.00075             0.50000             1108.00000          11080.00000         363.00000           0.00000             
14             0.00148             0.00102             0.50000             1101.00000          11010.00000         385.00000           0.00000             
15             0.00131             0.00186             0.50000             1152.00000          11520.00000         354.00000           10.00000            
16             0.00198             0.00240             0.50000             1122.00000          11220.00000         393.00000           0.00000             
17             0.00218             0.00276             0.50000             1150.00000          11500.00000         320.00000           10.00000            
18             0.00256             0.00150             0.50000             1109.00000          11090.00000         378.00000           0.00000             
19             0.00189             0.00211             0.50000             1131.00000          11310.00000         374.00000           10.00000            
20             0.00144             0.00233             0.50000             1125.00000          11250.00000         358.00000           20.00000            
21             0.00122             0.00273             0.50000             1141.00000          11410.00000         413.00000           10.00000            
22             0.00091             0.00227             0.50000             1116.00000          11160.00000         403.00000           10.00000            
23             0.00139             0.00111             0.50000             1154.00000          11540.00000         406.00000           0.00000             
24             0.00228             0.00049             0.50000             1115.00000          11150.00000         351.00000           10.00000            
25             0.00224             0.00051             0.50000             1135.00000          11350.00000         383.00000           0.00000             
26             0.00300             0.00067             0.50000             1162.00000          11620.00000         392.00000           0.00000             
27             0.00384             0.00051             0.50000             1150.00000          11500.00000         406.00000           0.00000             
28             0.00505             0.00100             0.50000             1158.00000          11580.00000         399.00000           10.00000            
29             0.00438             0.00117             0.50000             1139.00000          11390.00000         368.00000           20.00000            
30             0.00312             0.00099             0.50000             1099.00000          10990.00000         368.00000           10.00000            
31             0.00310             0.00043             0.50000             1146.00000          11460.00000         371.00000           20.00000            
32             0.00408             0.00092             0.50000             1106.00000          11060.00000         407.00000           30.00000            
33             0.00261             0.00035             0.50000             1091.00000          10910.00000         377.00000           20.00000            
34             0.00264             0.00109             0.50000             1127.00000          11270.00000         407.00000           10.00000            
35             0.00184             0.00139             0.50000             1136.00000          11360.00000         362.00000           20.00000            
36             0.00135             0.00145             0.50000             1124.00000          11240.00000         343.00000           0.00000             
37             0.00125             0.00218             0.50000             1127.00000          11270.00000         372.00000           0.00000             
38             0.00055             0.00121             0.50000             1126.00000          11260.00000         367.00000           0.00000             
39             0.00107             0.00154             0.50000             1161.00000          11610.00000         380.00000           0.00000             
40             0.00124             0.00169             0.50000             1112.00000          11120.00000         330.00000           0.00000             
41             0.00206             0.00136             0.50000             1095.00000          10950.00000         373.00000           10.00000            
42             0.00117             0.00136             0.50000             1129.00000          11290.00000         372.00000           10.00000            
43             0.00109             0.00167             0.50000             1140.00000          11400.00000         407.00000           0.00000             
44             0.00130             0.00066             0.50000             1110.00000          11100.00000         367.00000           10.00000            
45             0.00193             0.00132             0.50000             1142.00000          11420.00000         417.00000           0.00000             
46             0.00195             0.00132             0.50000             1091.00000          10910.00000         385.00000           0.00000             
47             0.00150             0.00181             0.50000             1111.00000          11110.00000         393.00000           10.00000            
48             0.00165             0.00121             0.50000             1097.00000          10970.00000         395.00000           0.00000             
49             0.00106             0.00070             0.50000             1129.00000          11290.00000         370.00000           10.00000            
50             0.00077             0.00072             0.50000             1116.00000          11160.00000         373.00000           10.00000            
51             0.00060             0.00192             0.50000             1128.00000          11280.00000         361.00000           0.00000             
